Sample,Short Code,City Code,State,City
ERSPARMA,ERSPAR,ERSP,AR,
FRCYARMA,FRCYAR,FRCY,AR,
FTSMARGL,FTSMAR,FTSM,AR,
FTSMARMI,FTSMAR,FTSM,AR,
FTSMARSU,FTSMAR,FTSM,AR,
FYVLARHI,FYVLAR,FYVL,AR,
GNTRARXB,GNTRAR,GNTR,AR,
GNWDARXA,GNWDAR,GNWD,AR,
GRDNARMA,GRDNAR,GRDN,AR,
GRFDARXA,GRFDAR,GRFD,AR,
GRFRARXA,GRFRAR,GRFR,AR,
GRVTARMA,GRVTAR,GRVT,AR,
GTWYARXA,GTWYAR,GTWY,AR,
HAZNARXA,HAZNAR,HAZN,AR,
HCKTARXA,HCKTAR,HCKT,AR,
HCPLARXA,HCPLAR,HCPL,AR,
HGHSARMA,HGHSAR,HGHS,AR,
HLNAARJU,HLNAAR,HLNA,AR,
HMBGARMA,HMBGAR,HMBG,AR,
HOPEARMA,HOPEAR,HOPE,AR,
HRSNARXB,HRSNAR,HRSN,AR,
HTMNARXA,HTMNAR,HTMN,AR,
HTSPARCO,HTSPAR,HTSP,AR,
HTSPARNA,HTSPAR,HTSP,AR,
JCVLARXA,JCVLAR,JCVL,AR,
JCVLARXB,JCVLAR,JCVL,AR,
JDSNARXA,JDSNAR,JDSN,AR,
JNBOARMA,JNBOAR,JNBO,AR,
KNBLARXA,KNBLAR,KNBL,AR,
KNSTARXA,KNSTAR,KNST,AR,
LAMRARXA,LAMRAR,LAMR,AR,
LCVLARXA,LCVLAR,LCVL,AR,
LESLARXA,LESLAR,LESL,AR,
LKCYARXA,LKCYAR,LKCY,AR,
LONDARXA,LONDAR,LOND,AR,
LTRKAREA,LTRKAR,LTRK,AR,
LTRKARLO,LTRKAR,LTRK,AR,
LTRKARSK,LTRKAR,LTRK,AR,
LTRKARSW,LTRKAR,LTRK,AR,
LTRKARTE,LTRKAR,LTRK,AR,
LTRKARTU,LTRKAR,LTRK,AR,
LTRKARUL,LTRKAR,LTRK,AR,
LTRKARVA,LTRKAR,LTRK,AR,
LTRKARWI,LTRKAR,LTRK,AR,
LTRKARYO,LTRKAR,LTRK,AR,
LUXRARMA,LUXRAR,LUXR,AR,
MANLARXA,MANLAR,MANL,AR,
MARNARMA,MARNAR,MARN,AR,
MCCRARXA,MCCRAR,MCCR,AR,
MCRAARXA,MCRAAR,MCRA,AR,
MDLDARXA,MDLDAR,MDLD,AR,
MENAARMA,MENAAR,MENA,AR,
MLBYARXA,MLBYAR,MLBY,AR,
MLTNARFL,MLTNAR,MLTN,AR,
MLVRARMA,MLVRAR,MLVR,AR,
MNFDARXA,MNFDAR,MNFD,AR,
MNTIARMA,MNTIAR,MNTI,AR,
MNTTARXA,MNTTAR,MNTT,AR,
MRNNARMA,MRNNAR,MRNN,AR,
MRVLARXA,MRVLAR,MRVL,AR,
MTBGARXA,MTBGAR,MTBG,AR,
OSCLARMA,OSCLAR,OSCL,AR,
OZRKARXA,OZRKAR,OZRK,AR,
PERGARXA,PERGAR,PERG,AR,
PNBLARCH,PNBLAR,PNBL,AR,
PNBLARJE,PNBLAR,PNBL,AR,
PNBLARWC,PNBLAR,PNBL,AR,
PRGLARCE,PRGLAR,PRGL,AR,
PRKNARMA,PRKNAR,PRKN,AR,
PRSCARXA,PRSCAR,PRSC,AR,
PRVLARXA,PRVLAR,PRVL,AR,
RDFDARXB,RDFDAR,RDFD,AR,
RGRSAREA,RGRSAR,RGRS,AR,
RGRSARMA,RGRSAR,RGRS,AR,
RLVLARXA,RLVLAR,RLVL,AR,
SMSPARXA,SMSPAR,SMSP,AR,
SPDLARFO,SPDLAR,SPDL,AR,
SPDLARPL,SPDLAR,SPDL,AR,
SRCYARMA,SRCYAR,SRCY,AR,
STCYARXA,STCYAR,STCY,AR,
SWTNARXA,SWTNAR,SWTN,AR,
TRMNARXA,TRMNAR,TRMN,AR,
VNBRARMA,VNBRAR,VNBR,AR,
WFRKARXA,WFRKAR,WFRK,AR,
WHTLARXA,WHTLAR,WHTL,AR,
WMMPARMA,WMMPAR,WMMP,AR,
WNSLARXA,WNSLAR,WNSL,AR,
WYNNARMA,WYNNAR,WYNN,AR,
AGFIAZSR,AGFIAZ,AGFI,AZ,
BCKYAZMA,BCKYAZ,BCKY,AZ,
BNSNAZMA,BNSNAZ,BNSN,AZ,
BNSNAZSD,BNSNAZ,BNSN,AZ,
BRDSAZMA,BRDSAZ,BRDS,AZ,
CHNDAZRS,CHNDAZ,CHND,AZ,
CHNDAZSL,CHNDAZ,CHND,AZ,
CHNDAZSO,CHNDAZ,CHND,AZ,
CLDGAZMA,CLDGAZ,CLDG,AZ,
CRNDAZMA,CRNDAZ,CRND,AZ,
CSGRAZMA,CSGRAZ,CSGR,AZ,
CVCKAZMA,CVCKAZ,CVCK,AZ,
DGLSAZMA,DGLSAZ,DGLS,AZ,
FLGSAZMA,FLGSAZ,FLGS,AZ,
FLRNAZMA,FLRNAZ,FLRN,AZ,
FTMDAZMA,FTMDAZ,FTMD,AZ,
GDYRAZCW,GDYRAZ,GDYR,AZ,
GLBNAZMA,GLBNAZ,GLBN,AZ,
GLDLAZMA,GLDLAZ,GLDL,AZ,
GNVYAZMA,GNVYAZ,GNVY,AZ,
HGLYAZMA,HGLYAZ,HGLY,AZ,
HGLYAZQC,HGLYAZ,HGLY,AZ,
LTPKAZMA,LTPKAZ,LTPK,AZ,
MARNAZ02,MARNAZ,MARN,AZ,
MARNAZ03,MARNAZ,MARN,AZ,
MARNAZMA,MARNAZ,MARN,AZ,
MESAAZGI,MESAAZ,MESA,AZ,
PAGEAZMA,PAGEAZ,PAGE,AZ,
PHNXAZ81,PHNXAZ,PHNX,AZ,
PHNXAZBW,PHNXAZ,PHNX,AZ,
PHNXAZGR,PHNXAZ,PHNX,AZ,
PHNXAZLV,PHNXAZ,PHNX,AZ,
PHNXAZMR,PHNXAZ,PHNX,AZ,
PHNXAZMY,PHNXAZ,PHNX,AZ,
PHNXAZNW,PHNXAZ,PHNX,AZ,
PHNXAZPP,PHNXAZ,PHNX,AZ,
PHNXAZPR,PHNXAZ,PHNX,AZ,
PHNXAZSO,PHNXAZ,PHNX,AZ,
PHNXAZSY,PHNXAZ,PHNX,AZ,
PHNXAZWE,PHNXAZ,PHNX,AZ,
PRVYAZPP,PRVYAZ,PRVY,AZ,
SCDLAZSH,SCDLAZ,SCDL,AZ,
SFFRAZMA,SFFRAZ,SFFR,AZ,
SMTNAZMA,SMTNAZ,SMTN,AZ,
SPRSAZEA,SPRSAZ,SPRS,AZ,
SPRSAZMA,SPRSAZ,SPRS,AZ,
SRVSAZMA,SRVSAZ,SRVS,AZ,
SRVSAZNO,SRVSAZ,SRVS,AZ,
SRVSAZSO,SRVSAZ,SRVS,AZ,
TCSNAZCA,TCSNAZ,TCSN,AZ,
TCSNAZCO,TCSNAZ,TCSN,AZ,
TCSNAZCR,TCSNAZ,TCSN,AZ,
TCSNAZEA,TCSNAZ,TCSN,AZ,
TCSNAZFW,TCSNAZ,TCSN,AZ,
TCSNAZNO,TCSNAZ,TCSN,AZ,
TCSNAZRN,TCSNAZ,TCSN,AZ,
TCSNAZSE,TCSNAZ,TCSN,AZ,
TCSNAZSO,TCSNAZ,TCSN,AZ,
TCSNAZSW,TCSNAZ,TCSN,AZ,
TCSNAZTV,TCSNAZ,TCSN,AZ,
TCSNAZWE,TCSNAZ,TCSN,AZ,
TLSNAZMA,TLSNAZ,TLSN,AZ,
TMBSAZMA,TMBSAZ,TMBS,AZ,
VAILAZNO,VAILAZ,VAIL,AZ,
VAILAZSO,VAILAZ,VAIL,AZ,
WCBGAZMA,WCBGAZ,WCBG,AZ,
WHTKAZMA,WHTKAZ,WHTK,AZ,
WHTLAZMA,WHTLAZ,WHTL,AZ,
WLCXAZMA,WLCXAZ,WLCX,AZ,
WLTNAZMA,WLTNAZ,WLTN,AZ,
YUMAAZFT,YUMAAZ,YUMA,AZ,
YUMAAZMA,YUMAAZ,YUMA,AZ,
YUMAAZSE,YUMAAZ,YUMA,AZ,
ACTNCA11,ACTNCA,ACTN,CA,
ADLNCAXF,ADLNCA,ADLN,CA,
AGDLCA11,AGDLCA,AGDL,CA,
AGORCA11,AGORCA,AGOR,CA,
ALBYCA11,ALBYCA,ALBY,CA,
ALHBCA01,ALHBCA,ALHB,CA,
ALMDCA11,ALMDCA,ALMD,CA,
ALPICA12,ALPICA,ALPI,CA,
ANCMCA01,ANCMCA,ANCM,CA,
ANGWCA11,ANGWCA,ANGW,CA,
ANHMCA11,ANHMCA,ANHM,CA,
ANHMCA12,ANHMCA,ANHM,CA,
ANHMCA17,ANHMCA,ANHM,CA,
ANTCCA11,ANTCCA,ANTC,CA,
APTSCA12,APTSCA,APTS,CA,
APVYCAXF,APVYCA,APVY,CA,
ARCDCA11,ARCDCA,ARCD,CA,
ARGRCA12,ARGRCA,ARGR,CA,
ARHDCAXF,ARHDCA,ARHD,CA,
ARMSCA11,ARMSCA,ARMS,CA,
ARNLCA11,ARNLCA,ARNL,CA,
ARSNCA11,ARSNCA,ARSN,CA,
ARTNCA11,ARTNCA,ARTN,CA,
ARVNCA11,ARVNCA,ARVN,CA,
ATSCCA11,ATSCCA,ATSC,CA,
ATWRCA12,ATWRCA,ATWR,CA,
AUBNCA01,AUBNCA,AUBN,CA,
AVBHCA11,AVBHCA,AVBH,CA,
AZUSCAXF,AZUSCA,AZUS,CA,
BALBCA01,BALBCA,BALB,CA,
BBCYCAXF,BBCYCA,BBCY,CA,
BBLKCAXF,BBLKCA,BBLK,CA,
BCWYCA11,BCWYCA,BCWY,CA,
BDBACA11,BDBACA,BDBA,CA,
BELLCA11,BELLCA,BELL,CA,
BELRCAXF,BELRCA,BELR,CA,
BGGSCA11,BGGSCA,BGGS,CA,
BGPICAXF,BGPICA,BGPI,CA,
BKFDCA11,BKFDCA,BKFD,CA,
BKFDCA13,BKFDCA,BKFD,CA,
BKFDCA14,BKFDCA,BKFD,CA,
BKFDCA17,BKFDCA,BKFD,CA,
BKFDCA19,BKFDCA,BKFD,CA,
BLCKCA11,BLCKCA,BLCK,CA,
BLFLCAXF,BLFLCA,BLFL,CA,
BNCICA11,BNCICA,BNCI,CA,
BNLMCA11,BNLMCA,BNLM,CA,
BNNGCAXF,BNNGCA,BNNG,CA,
BNPKCA11,BNPKCA,BNPK,CA,
BNVLCA11,BNVLCA,BNVL,CA,
BRBNCA13,BRBNCA,BRBN,CA,
BREACA12,BREACA,BREA,CA,
BRLNCA01,BRLNCA,BRLN,CA,
BRPTCAXF,BRPTCA,BRPT,CA,
BRSWCAXJ,BRSWCA,BRSW,CA,
BRWDCA12,BRWDCA,BRWD,CA,
BRWLCA11,BRWLCA,BRWL,CA,
BSRNCA70,BSRNCA,BSRN,CA,
BTISCA11,BTISCA,BTIS,CA,
BUMTCAXF,BUMTCA,BUMT,CA,
BYPKCA11,BYPKCA,BYPK,CA,
CCHLCAXF,CCHLCA,CCHL,CA,
CEVLCAXF,CEVLCA,CEVL,CA,
CHICCA01,CHICCA,CHIC,CA,
CHLRCA11,CHLRCA,CHLR,CA,
CHVSCA11,CHVSCA,CHVS,CA,
CHVSCA12,CHVSCA,CHVS,CA,
CHWCCA11,CHWCCA,CHWC,CA,
CLBSCA11,CLBSCA,CLBS,CA,
CLBSCA50,CLBSCA,CLBS,CA,
CLCYCA11,CLCYCA,CLCY,CA,
CLCYCAXG,CLCYCA,CLCY,CA,
CLEMCAXF,CLEMCA,CLEM,CA,
CLFXCAXF,CLFXCA,CLFX,CA,
CLMSCAXF,CLMSCA,CLMS,CA,
CLMTCAXF,CLMTCA,CLMT,CA,
CLOKCA11,CLOKCA,CLOK,CA,
CLPTCA11,CLPTCA,CLPT,CA,
CLSTCA11,CLSTCA,CLST,CA,
CLVSCA11,CLVSCA,CLVS,CA,
CLXCCA12,CLXCCA,CLXC,CA,
CMBACA11,CMBACA,CMBA,CA,
CMRLCAXF,CMRLCA,CMRL,CA,
CNVYCA11,CNVYCA,CNVY,CA,
CODLCA11,CODLCA,CODL,CA,
COLACA01,COLACA,COLA,CA,
COLSCAXF,COLSCA,COLS,CA,
COTNCA11,COTNCA,COTN,CA,
CRCRCAXF,CRCRCA,CRCR,CA,
CRCTCA02,CRCTCA,CRCT,CA,
CRCYCAXF,CRCYCA,CRCY,CA,
CRDMCA11,CRDMCA,CRDM,CA,
CRLKCAXF,CRLKCA,CRLK,CA,
CRLNCAXF,CRLNCA,CRLN,CA,
CRLSCA11,CRLSCA,CRLS,CA,
CRLSCA12,CRLSCA,CRLS,CA,
CRNDCA11,CRNDCA,CRND,CA,
CRNGCA12,CRNGCA,CRNG,CA,
CRPRCAXF,CRPRCA,CRPR,CA,
CRTHCA11,CRTHCA,CRTH,CA,
CRVYCA11,CRVYCA,CRVY,CA,
CSMSCA11,CSMSCA,CSMS,CA,
CSVLCA11,CSVLCA,CSVL,CA,
CTHTCAXF,CTHTCA,CTHT,CA,
CWLDCA12,CWLDCA,CWLD,CA,
CYCSCA11,CYCSCA,CYCS,CA,
CYTNCA11,CYTNCA,CYTN,CA,
CZDRCAXG,CZDRCA,CZDR,CA,
DAVLCA12,DAVLCA,DAVL,CA,
DAVLCA13,DAVLCA,DAVL,CA,
DAVSCA11,DAVSCA,DAVS,CA,
DELNCA11,DELNCA,DELN,CA,
DINBCA01,DINBCA,DINB,CA,
DIXNCA11,DIXNCA,DIXN,CA,
DLMRCA12,DLMRCA,DLMR,CA,
DLRYCA11,DLRYCA,DLRY,CA,
DMBRCAXF,DMBRCA,DMBR,CA,
DNSMCA11,DNSMCA,DNSM,CA,
DSKNCAXF,DSKNCA,DSKN,CA,
DSPLCAXF,DSPLCA,DSPL,CA,
DTFLCA11,DTFLCA,DTFL,CA,
DWNYCAXF,DWNYCA,DWNY,CA,
DWNYCAXG,DWNYCA,DWNY,CA,
EDMTCAXF,EDMTCA,EDMT,CA,
EKGVCAXG,EKGVCA,EKGV,CA,
EKGVCAXI,EKGVCA,EKGV,CA,
EKGVCAXJ,EKGVCA,EKGV,CA,
ELCJCA11,ELCJCA,ELCJ,CA,
ELCNCA01,ELCNCA,ELCN,CA,
ELMGCAXF,ELMGCA,ELMG,CA,
ELMNCA01,ELMNCA,ELMN,CA,
ELSBCA11,ELSBCA,ELSB,CA,
ELSNCAXF,ELSNCA,ELSN,CA,
ELSNCAXG,ELSNCA,ELSN,CA,
ELWDCAXF,ELWDCA,ELWD,CA,
ENCTCA12,ENCTCA,ENCT,CA,
ESCLCA11,ESCLCA,ESCL,CA,
ESCNCA01,ESCNCA,ESCN,CA,
ESPRCA11,ESPRCA,ESPR,CA,
ETWNCAXF,ETWNCA,ETWN,CA,
EURKCA01,EURKCA,EURK,CA,
EXTRCAXF,EXTRCA,EXTR,CA,
FETNCA11,FETNCA,FETN,CA,
FLMRCA11,FLMRCA,FLMR,CA,
FLSMCA12,FLSMCA,FLSM,CA,
FLSMCA13,FLSMCA,FLSM,CA,
FLSMCA14,FLSMCA,FLSM,CA,
FNTACA11,FNTACA,FNTA,CA,
FRBHCA11,FRBHCA,FRBH,CA,
FRFDCA01,FRFDCA,FRFD,CA,
FRMTCA11,FRMTCA,FRMT,CA,
FRSNCA01,FRSNCA,FRSN,CA,
FRSNCA11,FRSNCA,FRSN,CA,
FRSNCA12,FRSNCA,FRSN,CA,
FRSNCA13,FRSNCA,FRSN,CA,
FRSNCA14,FRSNCA,FRSN,CA,
FRSNCA15,FRSNCA,FRSN,CA,
FRTNCAXF,FRTNCA,FRTN,CA,
FRVLCA11,FRVLCA,FRVL,CA,
FSVLCA11,FSVLCA,FSVL,CA,
FTBRCA02,FTBRCA,FTBR,CA,
FUTNCA01,FUTNCA,FUTN,CA,
FWLRCAXF,FWLRCA,FWLR,CA,
GALTCA11,GALTCA,GALT,CA,
GDLPCAXG,GDLPCA,GDLP,CA,
GLNDCAXF,GLNDCA,GLND,CA,
GLRYCAXF,GLRYCA,GLRY,CA,
GNFDCA11,GNFDCA,GNFD,CA,
GNZLCA11,GNZLCA,GNZL,CA,
GOLTCAXF,GOLTCA,GOLT,CA,
GRBRCA11,GRBRCA,GRBR,CA,
GRDLCA11,GRDLCA,GRDL,CA,
GRGVCA01,GRGVCA,GRGV,CA,
GRHLCAXF,GRHLCA,GRHL,CA,
GRMSCAXF,GRMSCA,GRMS,CA,
GRNDCA13,GRNDCA,GRND,CA,
GRTWCA11,GRTWCA,GRTW,CA,
GRVLCAXF,GRVLCA,GRVL,CA,
GRVYCA01,GRVYCA,GRVY,CA,
GRVYCA12,GRVYCA,GRVY,CA,
GSQTCAXF,GSQTCA,GSQT,CA,
GUSTCA11,GUSTCA,GUST,CA,
GUVLCA11,GUVLCA,GUVL,CA,
GYVLCA11,GYVLCA,GYVL,CA,
GZLLCA11,GZLLCA,GZLL,CA,
HEMTCAXF,HEMTCA,HEMT,CA,
HGLDCA11,HGLDCA,HGLD,CA,
HGSNCA11,HGSNCA,HGSN,CA,
HICHCAXF,HICHCA,HICH,CA,
HLBGCA11,HLBGCA,HLBG,CA,
HLSTCA11,HLSTCA,HLST,CA,
HLVLCA11,HLVLCA,HLVL,CA,
